name,group,tag,ok,units,method,note,unit_rows,unit_gas,unit_cg,glue_rows,glue_gas,op_rows,op_gas,op_cg,witness_bytes_per_unit
P256VERIFY,precompile,p2c,True,838,"straight-line Δ(K − K/2 units, equal code length)",valid signature → 1,3784035.4295942723,7019.0,539.113182731767,188.04566666666665,19,3783847.3839276056,7000.0,540.5496262753722,
CALL/cold-big-deep7,state,p3,True,50,"whole-block Δ(2n − n), pruned deep witness",cold CALL into distinct 24KB-code contracts (STOP): reveal + keccak + jump analysis,1220808.06,2617.0,466.4914252961406,317.3697186544343,17,1220490.6902813455,2600.0,469.419496262056,2619.84
EXTCODESIZE/cold-big-deep7,state,p3,True,50,"whole-block Δ(2n − n), pruned deep witness",cold contract with distinct 24KB code: path reveal + code keccak,1212317.16,2605.0,465.38086756238005,134.46238532110092,5,1212182.6976146789,2600.0,466.22411446718417,2619.84
BLS_G2MSM/k1,precompile,p2c,True,262,"straight-line Δ(K − K/2 units, equal code length)","1 points, scalars r−1",9919197.977099236,22619.0,438.5338864273061,188.04566666666665,19,9919009.93143257,22600.0,438.89424475365354,
BLS_G2MSM/k2,precompile,p2c,True,132,"straight-line Δ(K − K/2 units, equal code length)","2 points, scalars r−1",14356005.113636363,45119.0,318.18092408157014,188.04566666666665,19,14355817.067969697,45100.0,318.3107997332527,
BLS_MAP_FP_TO_G1,precompile,p2c,True,1044,"straight-line Δ(K − K/2 units, equal code length)",,1661472.0996168582,5619.0,295.6882184760381,188.04566666666665,19,1661284.0539501915,5600.0,296.6578667768199,
BLS_PAIRING/k1,precompile,p2c,True,84,"straight-line Δ(K − K/2 units, equal code length)",1 pair (result 0),20817817.04761905,70419.0,295.6278425938887,188.04566666666665,19,20817629.001952384,70400.0,295.7049574140964,
BLS_G1MSM/k1,precompile,p2c,True,488,"straight-line Δ(K − K/2 units, equal code length)","1 points, scalars r−1",3448122.1639344264,12119.0,284.5220037902819,188.04566666666665,19,3447934.1182677597,12100.0,284.9532329146909,
POINTEVAL,precompile,p2c,True,119,"straight-line Δ(K − K/2 units, equal code length)","zero polynomial: commitment/proof = G1 infinity, z=y=0",14168886.235294119,50119.0,282.7048870746447,188.04566666666665,19,14168698.189627452,50100.0,282.80834709835233,
BLS_G1ADD,precompile,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",,128630.85981308411,494.0,260.3863558969314,188.04566666666665,19,128442.81414641744,475.0,270.40592451877353,
BLS_PAIRING/k2,precompile,p2c,True,55,"straight-line Δ(K − K/2 units, equal code length)",2 pairs → 1,27442174.363636363,103019.0,266.37973930669455,188.04566666666665,19,27441986.3179697,103000.0,266.42705163077375,
BLS_G2ADD,precompile,p2c,True,1498,"straight-line Δ(K − K/2 units, equal code length)",,181294.07943925232,719.0,252.14753746766667,188.04566666666665,19,181106.03377258565,700.0,258.7229053894081,
BLS_PAIRING/k4,precompile,p2c,True,32,"straight-line Δ(K − K/2 units, equal code length)",,42199771.46875,168219.0,250.86209922036156,188.04566666666665,19,42199583.423083335,168200.0,250.8893188054895,
BLS_PAIRING/k8,precompile,p2c,True,18,"straight-line Δ(K − K/2 units, equal code length)",,74512803.5,298619.0,249.52465683697287,188.04566666666665,19,74512615.45433334,298600.0,249.53990440165217,
BN254ADD,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",G1 + 7·G1,61407.60240160107,269.0,228.28104982007832,188.04566666666665,19,61219.556734934406,250.0,244.87822693973763,
BLS_G1MSM/k2,precompile,p2c,True,246,"straight-line Δ(K − K/2 units, equal code length)","2 points, scalars r−1",5424651.983739837,22895.0,236.9360988748564,188.04566666666665,19,5424463.93807317,22876.0,237.12466943841451,
BLAKE2F/r1000,precompile,p2c,True,1499,"straight-line Δ(K − K/2 units, equal code length)",1000 rounds (gas = rounds),259781.91727818546,1119.0,232.15542205378503,188.04566666666665,19,259593.87161151879,1100.0,235.99442873774436,
BLS_G2MSM/k8,precompile,p2c,True,33,"straight-line Δ(K − K/2 units, equal code length)","8 points, scalars r−1",31238140.0,143399.0,217.8407101862635,188.04566666666665,19,31237951.954333335,143380.0,217.86826582740505,
BLS_MAP_FP2_TO_G2,precompile,p2c,True,248,"straight-line Δ(K − K/2 units, equal code length)",,5038393.479838709,23919.0,210.64398510969144,188.04566666666665,19,5038205.434172043,23900.0,210.8035746515499,
BLS_G2MSM/k32,precompile,p2c,True,8,"straight-line Δ(K − K/2 units, equal code length)","32 points, scalars r−1",95007416.875,465239.0,204.21206492791876,188.04566666666665,19,95007228.82933334,465220.0,204.22000092286086,
BLS_G1MSM/k128,precompile,p2c,True,4,"straight-line Δ(K − K/2 units, equal code length)","128 points, scalars r−1",150439578.25,797303.0,188.6855790709429,188.04566666666665,19,150439390.20433334,797284.0,188.68983976140663,
BLS_G1MSM/k8,precompile,p2c,True,62,"straight-line Δ(K − K/2 units, equal code length)","8 points, scalars r−1",13102905.467741935,70007.0,187.16564726015878,188.04566666666665,19,13102717.422075268,69988.0,187.21377124757484,
MODEXP/1024-e1-1024,precompile,p2c,True,181,"straight-line Δ(K − K/2 units, equal code length)","B,M 1024B; E=1",6023993.160220995,32887.0,183.1724742366587,188.04566666666665,19,6023805.114554328,32868.0,183.272639483824,
BLS_G1MSM/k32,precompile,p2c,True,15,"straight-line Δ(K − K/2 units, equal code length)","32 points, scalars r−1",42840999.6,240887.0,177.8468726000158,188.04566666666665,19,42840811.55433334,240868.0,177.8601207065004,
